Date,SENT
1/30/15,1
2/8/15,1
2/8/15,-1
2/8/15,1
2/8/15,0
2/10/15,-1
2/10/15,1
2/10/15,0
2/11/15,1
2/11/15,1
2/11/15,0
2/11/15,1
2/11/15,1
2/11/15,0
2/11/15,0
2/11/15,0
2/12/15,0
2/24/15,1
2/26/15,1
3/2/15,1
3/2/15,-1
3/2/15,0
3/7/15,0
3/8/15,-1
3/11/15,-1
3/12/15,0
3/12/15,1
3/12/15,0
3/13/15,1
3/13/15,-1
3/13/15,1
3/14/15,1
3/15/15,0
3/16/15,-1
3/16/15,1
3/17/15,1
3/17/15,1
3/17/15,1
3/18/15,1
3/21/15,-1
3/21/15,1
3/21/15,0
3/21/15,1
3/22/15,1
3/23/15,0
3/23/15,0
3/24/15,-1
3/24/15,-1
3/24/15,-1
3/24/15,1
3/30/15,0
3/31/15,1
3/31/15,1
4/1/15,1
4/4/15,-1
4/6/15,-1
4/6/15,1
4/6/15,1
4/9/15,0
4/11/15,1
4/11/15,0
4/11/15,0
4/11/15,0
4/12/15,1
4/13/15,0
4/13/15,-1
4/13/15,1
4/13/15,-1
4/14/15,1
4/14/15,1
4/14/15,0
4/15/15,-1
4/15/15,0
4/15/15,0
4/15/15,-1
4/18/15,-1
4/18/15,1
4/19/15,1
4/19/15,-1
4/23/15,1
4/27/15,1
4/27/15,1
4/29/15,1
4/30/15,1
5/1/15,1
5/1/15,1
5/2/15,0
5/3/15,1
5/3/15,1
5/4/15,1
5/5/15,-1
5/6/15,0
5/6/15,0
5/6/15,1
5/12/15,0
5/12/15,1
5/12/15,1
5/12/15,-1
5/12/15,1
5/12/15,0
5/19/15,0
5/19/15,0
5/22/15,1
5/22/15,1
5/22/15,0
5/27/15,1
6/1/15,1
6/12/15,1
6/15/15,1
6/15/15,1
6/19/15,1
6/23/15,1
6/27/15,0
6/27/15,1
6/27/15,1
6/27/15,1
6/27/15,0
6/27/15,1
6/28/15,1
6/28/15,-1
6/28/15,1
6/28/15,0
6/28/15,1
6/28/15,-1
6/29/15,0
7/6/15,0
7/17/15,0
7/18/15,-1
7/27/15,0
7/28/15,-1
7/28/15,1
7/30/15,1
7/30/15,1
7/31/15,1
7/31/15,0
7/31/15,0
7/31/15,0
7/31/15,-1
7/31/15,1
8/6/15,0
8/8/15,0
8/16/15,1
8/17/15,0
8/22/15,1
8/22/15,1
9/2/15,0
9/2/15,1
9/2/15,-1
9/2/15,0
9/2/15,-1
9/2/15,1
9/12/15,1
9/12/15,0
9/13/15,1
9/14/15,1
9/14/15,1
9/14/15,0
9/23/15,1
9/23/15,0
9/25/15,1
9/27/15,1
9/29/15,0
9/29/15,0
9/30/15,-1
10/2/15,1
10/2/15,0
10/2/15,0
10/2/15,1
10/2/15,0
10/2/15,1
10/2/15,0
10/2/15,1
10/3/15,1
10/9/15,0
10/9/15,1
10/9/15,1
10/9/15,0
10/10/15,0
10/10/15,0
10/11/15,0
10/11/15,0
10/11/15,0
10/11/15,0
10/11/15,0
10/11/15,1
10/11/15,1
10/11/15,1
10/11/15,-1
10/11/15,1
10/14/15,1
10/14/15,0
10/15/15,1
10/15/15,1
10/15/15,0
10/17/15,1
10/17/15,1
10/19/15,1
10/21/15,1
10/21/15,0
10/21/15,1
10/21/15,0
10/21/15,0
10/21/15,1
10/21/15,0
10/21/15,-1
10/21/15,1
10/21/15,0
10/21/15,0
10/21/15,1
10/22/15,0
10/22/15,1
10/22/15,1
10/23/15,1
10/23/15,1
10/23/15,1
10/23/15,0
10/25/15,-1
10/25/15,1
10/25/15,1
10/25/15,1
10/25/15,0
10/25/15,1
10/25/15,0
10/26/15,0
10/26/15,1
10/26/15,1
10/27/15,1
10/29/15,-1
10/29/15,1
10/30/15,1
11/1/15,0
11/2/15,1
11/4/15,0
11/8/15,1
11/20/15,1
11/20/15,-1
11/20/15,0
11/20/15,1
11/20/15,0
11/20/15,1
11/24/15,1
11/24/15,1
11/24/15,-1
11/24/15,0
11/24/15,-1
11/24/15,1
11/24/15,1
11/24/15,1
12/2/15,0
12/3/15,1
12/4/15,1
12/6/15,1
12/9/15,1
12/10/15,-1
12/10/15,1
12/11/15,0
12/17/15,0
12/18/15,0
12/18/15,0
12/18/15,-1
12/18/15,0
12/18/15,0
12/18/15,-1
12/18/15,1
12/18/15,0
12/18/15,-1
12/18/15,-1
12/18/15,1
12/19/15,1
12/19/15,0
12/19/15,0
12/19/15,1
12/20/15,1
12/21/15,0
12/22/15,0
12/22/15,0
12/22/15,0
12/22/15,1
12/22/15,0
12/22/15,1
12/22/15,1
12/22/15,0
1/1/16,-1
1/2/16,1
1/10/16,1
1/10/16,0
1/10/16,0
1/11/16,-1
1/12/16,0
1/12/16,0
1/16/16,1
1/16/16,1
1/17/16,-1
1/17/16,1
1/17/16,-1
1/17/16,1
1/17/16,0
1/17/16,0
1/17/16,1
1/17/16,0
1/17/16,1
1/17/16,1
1/18/16,1
1/18/16,0
1/19/16,1
1/20/16,0
1/23/16,1
2/3/16,-1
2/5/16,-1
2/10/16,0
2/10/16,1
2/11/16,0
2/11/16,1
2/11/16,-1
2/11/16,0
2/11/16,1
