date,TESLA,ELON MUSK
2020-07-11,43,12
2020-07-12,41,8
2020-07-13,68,8
2020-07-14,59,6
2020-07-15,49,8
2020-07-16,46,7
2020-07-17,43,5
2020-07-18,38,7
2020-07-19,37,6
2020-07-20,46,5
2020-07-21,54,8
2020-07-22,76,7
2020-07-23,68,7
2020-07-24,55,7
2020-07-25,41,19
2020-07-26,37,17
2020-07-27,44,12
2020-07-28,44,10
2020-07-29,41,8
2020-07-30,38,7
2020-07-31,40,6
2020-08-01,34,7
2020-08-02,32,17
2020-08-03,38,9
2020-08-04,36,7
2020-08-05,34,6
2020-08-06,34,5
2020-08-07,34,5
2020-08-08,30,5
2020-08-09,32,6
2020-08-10,37,5
2020-08-11,41,5
2020-08-12,60,4
2020-08-13,51,4
2020-08-14,44,4
2020-08-15,35,4
2020-08-16,35,5
2020-08-17,50,5
2020-08-18,55,6
2020-08-19,51,5
2020-08-20,57,5
2020-08-21,65,5
2020-08-22,47,5
2020-08-23,39,4
2020-08-24,58,4
2020-08-25,48,4
2020-08-26,51,6
2020-08-27,55,6
2020-08-28,60,9
2020-08-29,49,11
2020-08-30,44,10
2020-08-31,100,9
2020-09-01,87,8
2020-09-02,76,8
2020-09-03,73,7
2020-09-04,77,7
2020-09-05,49,6
2020-09-06,41,5
2020-09-07,39,5
2020-09-08,76,5
2020-09-09,72,5
2020-09-10,57,5
2020-09-11,54,6
2020-09-12,39,5
2020-09-13,33,4
2020-09-14,52,5
2020-09-15,55,5
2020-09-16,50,4
2020-09-17,48,5
2020-09-18,47,4
2020-09-19,37,4
2020-09-20,35,5
2020-09-21,58,6
2020-09-22,99,7
2020-09-23,88,7
2020-09-24,64,5
2020-09-25,52,4
2020-09-26,41,4
2020-09-27,41,5
2020-09-28,49,5
2020-09-29,48,5
2020-09-30,44,5
2020-10-01,47,4
2020-10-02,49,4
2020-10-03,38,4
2020-10-04,33,5
2020-10-05,43,4
2020-10-06,42,3
2020-10-07,39,4
2020-10-08,39,4
