Date,SENT
1/30/15,1
2/8/15,0.25
2/10/15,0
2/11/15,0.5
2/12/15,0
2/24/15,1
2/26/15,1
3/2/15,0
3/7/15,0
3/8/15,-1
3/11/15,-1
3/12/15,0.333333333
3/13/15,0.333333333
3/14/15,1
3/15/15,0
3/16/15,0
3/17/15,1
3/18/15,1
3/21/15,0.25
3/22/15,1
3/23/15,0
3/24/15,-0.5
3/30/15,0
3/31/15,1
4/1/15,1
4/4/15,-1
4/6/15,0.333333333
4/9/15,0
4/11/15,0.25
4/12/15,1
4/13/15,-0.25
4/14/15,0.666666667
4/15/15,-0.5
4/18/15,0
4/19/15,0
4/23/15,1
4/27/15,1
4/29/15,1
4/30/15,1
5/1/15,1
5/2/15,0
5/3/15,1
5/4/15,1
5/5/15,-1
5/6/15,0.333333333
5/12/15,0.333333333
5/19/15,0
5/22/15,0.666666667
5/27/15,1
6/1/15,1
6/12/15,1
6/15/15,1
6/19/15,1
6/23/15,1
6/27/15,0.666666667
6/28/15,0.166666667
6/29/15,0
7/6/15,0
7/17/15,0
7/18/15,-1
7/27/15,0
7/28/15,0
7/30/15,1
7/31/15,0.166666667
8/6/15,0
8/8/15,0
8/16/15,1
8/17/15,0
8/22/15,1
9/2/15,0
9/12/15,0.5
9/13/15,1
9/14/15,0.666666667
9/23/15,0.5
9/25/15,1
9/27/15,1
9/29/15,0
9/30/15,-1
10/2/15,0.5
10/3/15,1
10/9/15,0.5
10/10/15,0
10/11/15,0.3
10/14/15,0.5
10/15/15,0.666666667
10/17/15,1
10/19/15,1
10/21/15,0.333333333
10/22/15,0.666666667
10/23/15,0.75
10/25/15,0.428571429
10/26/15,0.666666667
10/27/15,1
10/29/15,0
10/30/15,1
11/1/15,0
11/2/15,1
11/4/15,0
11/8/15,1
11/20/15,0.333333333
11/24/15,0.375
12/2/15,0
12/3/15,1
12/4/15,1
12/6/15,1
12/9/15,1
12/10/15,0
12/11/15,0
12/17/15,0
12/18/15,-0.181818182
12/19/15,0.5
12/20/15,1
12/21/15,0
12/22/15,0.375
1/1/16,-1
1/2/16,1
1/10/16,0.333333333
1/11/16,-1
1/12/16,0
1/16/16,1
1/17/16,0.3
1/18/16,0.5
1/19/16,1
1/20/16,0
1/23/16,1
2/3/16,-1
2/5/16,-1
2/10/16,0.5
2/11/16,0.333333333
2/16/16,1
2/17/16,1
2/18/16,0.5
2/19/16,0.666666667
2/20/16,0
2/21/16,-0.333333333
2/23/16,0
2/24/16,0.5
2/27/16,1
2/28/16,0.5
2/29/16,-1
3/1/16,0.333333333
3/2/16,-0.25
3/4/16,0
3/5/16,1
3/6/16,0
3/9/16,0.333333333
3/18/16,0.5
3/19/16,0
3/20/16,0
3/29/16,1
3/30/16,0.4
3/31/16,0.181818182
4/1/16,0.571428571
4/2/16,0.416666667
4/3/16,0.459459459
4/4/16,0.875
4/5/16,0
4/6/16,-0.166666667
4/7/16,-1
4/8/16,0.714285714
4/9/16,0.75
4/10/16,-1
4/11/16,0.666666667
4/14/16,1
4/17/16,0.25
4/18/16,1
4/20/16,0.2
4/24/16,1
4/27/16,0
4/29/16,-0.666666667
4/30/16,0.470588235
5/1/16,0.333333333
5/2/16,1
5/5/16,1
5/6/16,0.666666667
5/7/16,0.5
5/10/16,0
5/12/16,0.6
5/14/16,0.666666667
5/15/16,-0.5
5/16/16,0.142857143
5/17/16,1
5/18/16,-0.2
5/19/16,1
5/22/16,1
5/25/16,1
5/26/16,1
5/27/16,0.25
5/28/16,-0.5
5/29/16,1
5/30/16,1
6/1/16,1
6/2/16,0.333333333
6/3/16,1
6/4/16,0.142857143
6/5/16,0.666666667
6/6/16,0
6/7/16,0
6/8/16,0.666666667
6/9/16,-0.5
6/10/16,0.2
6/11/16,1
6/12/16,-0.125
6/15/16,0.833333333
6/17/16,0.5
6/19/16,0.5
6/20/16,1
6/22/16,-1
6/27/16,0.5
6/28/16,1
6/29/16,0.25
6/30/16,0
7/5/16,0.2
7/6/16,0.142857143
7/8/16,0
7/9/16,0
7/10/16,0.095238095
7/12/16,0.666666667
7/13/16,1
7/14/16,0.25
7/15/16,0.454545455
7/16/16,0.714285714
7/17/16,0.833333333
7/18/16,0.375
7/19/16,0
7/20/16,-0.111111111
7/21/16,0.333333333
7/22/16,1
7/23/16,0.5
7/25/16,1
7/26/16,0.333333333
7/27/16,1
7/28/16,1
7/29/16,0.333333333
7/30/16,0.571428571
7/31/16,0
8/1/16,1
8/7/16,1
8/9/16,0.75
8/10/16,0
8/11/16,1
8/14/16,-1
8/15/16,0
8/22/16,-1
8/23/16,0
8/28/16,1
8/30/16,1
8/31/16,0.4
9/1/16,-1
9/9/16,0
9/10/16,-1
9/13/16,-0.25
9/16/16,0.333333333
9/17/16,0.75
9/18/16,0
9/19/16,1
9/21/16,-0.090909091
9/22/16,0
9/23/16,1
9/26/16,0.111111111
9/27/16,0.166666667
9/28/16,0.5
10/1/16,0.5
10/2/16,0.666666667
10/4/16,0.5
10/5/16,0.5
10/6/16,1
10/7/16,0
10/9/16,0
10/10/16,0
10/13/16,-1
10/16/16,0.333333333
10/18/16,0
10/19/16,-0.2
10/20/16,0.4
10/22/16,0
10/23/16,0
10/24/16,1
10/26/16,0.5
10/27/16,0.25
10/29/16,1
11/2/16,1
11/3/16,0.5
11/4/16,0.4
11/5/16,0.571428571
11/6/16,1
11/7/16,1
11/15/16,1
11/16/16,1
11/17/16,0.5
11/18/16,0
